headline,category,source,published_date,sentiment_score,impact_score,risk_level
new sanctions imposed affecting exports,geopolitical,Bloomberg,2024-11-27,0.1,75.81,High
inflation concerns mount as prices rise,economy,CNBC,2025-02-23,0.13,74.57,Medium
new sanctions imposed affecting exports,geopolitical,WSJ,2024-09-12,-0.05,74.58,Medium
stock market crashes amid investor panic,market,Bloomberg,2024-12-26,-0.08,65.04,Medium
central bank cuts interest rates to boost economy,economy,WSJ,2025-01-05,0.11,69.36,Medium
military drills raise regional concerns,geopolitical,CNBC,2024-08-30,-0.29,77.02,High
bank posts record quarterly losses,banking,Yahoo Finance,2025-04-13,-0.15,52.68,Medium
consumer confidence falls amid inflation,economy,Reuters,2024-11-25,-0.34,67.29,Medium
inflation concerns mount as prices rise,economy,Yahoo Finance,2024-10-26,-0.2,69.57,Medium
bull market continues as tech stocks rally,market,Financial Times,2025-02-26,0.02,53.24,Medium
NFT trading volume drops sharply,crypto,WSJ,2024-12-02,0.09,70.22,Medium
recession fears rattle global markets,market,WSJ,2025-02-12,-0.19,55.73,Medium
merger between two tech giants finalized,corporate,WSJ,2024-11-17,-0.11,57.2,Medium
oil embargo sends prices soaring,geopolitical,WSJ,2025-01-08,-0.23,80.33,High
new sanctions imposed affecting exports,geopolitical,Bloomberg,2024-05-13,-0.12,75.34,High
economic slowdown feared due to global tensions,economy,Bloomberg,2024-12-18,-0.52,82.06,High
market hits record high despite concerns,market,Reuters,2024-08-27,-0.0,54.71,Medium
oil embargo sends prices soaring,geopolitical,CNBC,2024-10-09,0.16,71.3,Medium
blockchain technology adopted by major banks,crypto,Forbes,2024-12-01,0.24,63.8,Medium
new sanctions imposed affecting exports,geopolitical,WSJ,2024-05-26,-0.27,80.03,High
inflation concerns mount as prices rise,economy,CNBC,2024-08-23,0.15,68.11,Medium
shareholders approve company restructuring,corporate,Forbes,2024-04-29,-0.02,53.79,Medium
banks introduce stricter credit policies,banking,Forbes,2024-11-01,-0.3,60.9,Medium
investors worry about overvalued markets,market,Yahoo Finance,2025-03-31,-0.09,66.64,Medium
Ethereum upgrade improves scalability,crypto,Reuters,2025-03-14,0.27,65.23,Medium
retail spending unexpectedly rises,economy,CNBC,2024-05-16,0.26,66.97,Medium
corporate tax changes spark debate,corporate,Forbes,2024-08-25,-0.14,60.16,Medium
economic slowdown feared due to global tensions,economy,CNBC,2024-12-11,-0.19,72.51,Medium
diplomatic ties strengthened to support trade,geopolitical,Forbes,2024-06-21,-0.17,76.0,High
corporate tax changes spark debate,corporate,Reuters,2024-12-25,0.07,60.93,Medium
debt ceiling debate causes economic uncertainty,economy,Bloomberg,2025-03-23,-0.1,65.57,Medium
market volatility increases ahead of earnings season,market,Forbes,2025-01-25,-0.22,57.32,Medium
military drills raise regional concerns,geopolitical,WSJ,2025-03-15,-0.04,82.38,High
corporate tax changes spark debate,corporate,WSJ,2024-08-20,-0.01,60.17,Medium
bank posts record quarterly losses,banking,WSJ,2025-04-11,-0.13,58.72,Medium
new sanctions imposed affecting exports,geopolitical,Forbes,2024-07-16,0.07,83.74,High
NFT trading volume drops sharply,crypto,Bloomberg,2024-11-17,-0.21,80.97,High
earnings report beats Wall Street expectations,corporate,Financial Times,2025-04-15,-0.52,66.91,Medium
diplomatic ties strengthened to support trade,geopolitical,WSJ,2025-01-15,0.02,73.8,Medium
new digital bank attracts thousands of users,banking,Yahoo Finance,2024-05-31,0.02,50.36,Medium
blockchain technology adopted by major banks,crypto,CNBC,2024-10-07,0.16,74.19,Medium
central bank cuts interest rates to boost economy,economy,WSJ,2024-11-02,0.5,69.91,Medium
company announces massive layoffs,corporate,Bloomberg,2024-10-13,-0.36,57.89,Medium
blockchain technology adopted by major banks,crypto,Bloomberg,2024-12-14,0.38,77.34,High
new digital bank attracts thousands of users,banking,Bloomberg,2024-08-11,-0.11,64.22,Medium
market volatility increases ahead of earnings season,market,CNBC,2024-05-14,0.02,65.14,Medium
earnings report beats Wall Street expectations,corporate,Reuters,2024-07-20,-0.14,55.46,Medium
credit card delinquencies rise sharply,banking,CNBC,2024-07-14,0.12,54.48,Medium
peace deal signed after years of negotiation,geopolitical,Forbes,2024-11-08,0.06,77.21,High
startup raises $100M in Series B funding,corporate,Financial Times,2024-07-26,0.0,53.83,Medium
merger between two tech giants finalized,corporate,CNBC,2024-12-22,-0.28,57.1,Medium
stocks fall due to global interest rate hikes,market,Bloomberg,2024-06-19,-0.07,57.04,Medium
banks introduce stricter credit policies,banking,WSJ,2024-12-25,-0.03,62.47,Medium
bull market continues as tech stocks rally,market,Forbes,2024-05-28,0.58,69.57,Medium
investors worry about overvalued markets,market,Bloomberg,2025-03-31,0.05,60.38,Medium
crypto markets face regulatory crackdown,crypto,WSJ,2024-12-16,-0.58,78.57,High
crypto volatility scares retail investors,crypto,CNBC,2024-07-14,0.01,82.47,High
debt ceiling debate causes economic uncertainty,economy,CNBC,2024-08-17,-0.04,67.11,Medium
CEO steps down amid internal probe,corporate,Bloomberg,2025-02-26,-0.21,52.31,Medium
military drills raise regional concerns,geopolitical,Reuters,2024-09-12,0.03,79.21,High
manufacturing giant shuts down plant,corporate,Yahoo Finance,2025-03-20,-0.24,54.05,Medium
new sanctions imposed affecting exports,geopolitical,Bloomberg,2024-09-22,0.28,72.19,Medium
oil embargo sends prices soaring,geopolitical,Yahoo Finance,2025-02-20,0.12,87.75,High
inflation concerns mount as prices rise,economy,CNBC,2024-07-16,-0.2,65.17,Medium
earnings report beats Wall Street expectations,corporate,Financial Times,2025-01-13,0.02,52.78,Medium
crypto volatility scares retail investors,crypto,CNBC,2025-03-09,-0.31,74.99,Medium
merger between two tech giants finalized,corporate,Bloomberg,2024-05-18,-0.21,60.52,Medium
banking sector sees rise in loan defaults,banking,Bloomberg,2024-12-16,0.02,68.05,Medium
consumer confidence falls amid inflation,economy,Financial Times,2024-08-13,-0.16,65.79,Medium
consumer confidence falls amid inflation,economy,Bloomberg,2025-01-22,0.16,61.25,Medium
company announces massive layoffs,corporate,Financial Times,2024-12-02,-0.15,63.79,Medium
shareholders approve company restructuring,corporate,Financial Times,2024-04-25,-0.32,60.72,Medium
global leaders meet for economic summit,geopolitical,CNBC,2025-01-09,0.05,79.66,High
blockchain technology adopted by major banks,crypto,Bloomberg,2024-06-24,-0.05,64.15,Medium
trade tensions escalate between major economies,geopolitical,Forbes,2024-11-07,0.1,77.98,High
stock market crashes amid investor panic,market,WSJ,2024-08-15,-0.35,66.98,Medium
interest rates impact mortgage applications,banking,Bloomberg,2024-07-30,-0.14,63.26,Medium
market volatility increases ahead of earnings season,market,Bloomberg,2024-06-16,0.06,57.33,Medium
investors worry about overvalued markets,market,Financial Times,2025-02-14,0.37,67.92,Medium
banks introduce stricter credit policies,banking,WSJ,2024-06-16,-0.24,66.88,Medium
bull market continues as tech stocks rally,market,Financial Times,2024-05-15,0.01,64.09,Medium
fintech firms challenge traditional banks,banking,Reuters,2025-01-02,0.23,59.35,Medium
oil embargo sends prices soaring,geopolitical,CNBC,2024-12-02,0.19,79.91,High
earnings report beats Wall Street expectations,corporate,Forbes,2024-05-21,0.16,66.88,Medium
crypto volatility scares retail investors,crypto,Reuters,2025-03-10,-0.05,66.98,Medium
recession fears rattle global markets,market,WSJ,2024-07-02,-0.38,61.62,Medium
bull market continues as tech stocks rally,market,WSJ,2024-12-28,0.18,64.41,Medium
bank posts record quarterly losses,banking,CNBC,2024-10-20,-0.14,66.24,Medium
investors worry about overvalued markets,market,Reuters,2024-11-22,0.0,67.27,Medium
